t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
167238.062000,hsv,106,328.00,244.00,407.0,990.00,540.00,0.00,15.00,5,1.0
167238.125000,hsv,107,329.00,244.00,406.0,990.00,540.00,0.00,13.27,5,1.0
167238.171000,hsv,108,328.00,243.00,406.0,990.00,540.00,0.00,13.77,5,1.0
167238.218000,hsv,109,328.00,244.00,409.0,990.00,540.00,0.00,15.00,5,1.0
167238.265000,hsv,110,328.00,244.00,408.0,990.00,540.00,0.00,15.00,5,1.0
167238.312000,hsv,111,328.00,244.00,408.0,990.00,540.00,0.00,15.00,5,1.0
167238.359000,hsv,112,328.00,243.00,408.0,990.00,540.00,0.00,13.77,5,1.0
167238.406000,hsv,113,327.00,242.00,408.0,990.00,540.00,0.00,14.94,5,1.0
167238.453000,hsv,114,328.00,238.00,408.0,990.00,540.00,0.00,12.82,5,1.0
167238.500000,hsv,115,328.00,234.00,408.0,990.00,540.00,0.00,18.06,5,1.0
167238.546000,hsv,116,330.00,227.00,403.0,990.00,540.00,0.00,30.20,5,1.0
167238.609000,hsv,117,330.00,223.00,403.0,990.00,540.00,0.00,38.98,5,1.0
167238.656000,hsv,118,331.00,216.00,401.0,990.00,540.00,0.00,54.25,5,1.0
167238.703000,hsv,119,332.00,211.00,401.0,990.00,540.00,0.00,65.32,5,1.0
167238.750000,hsv,120,334.00,202.00,399.0,990.00,540.00,0.00,85.51,5,1.0
167238.796000,hsv,121,336.00,198.00,396.0,990.00,540.00,0.00,94.69,5,1.0
167238.843000,hsv,122,337.00,190.00,399.0,1001.68,342.14,602.36,85.43,5,1.0
167238.890000,hsv,123,337.00,186.00,nan,999.63,342.08,600.31,76.43,5,0.0
167238.937000,hsv,124,334.00,178.00,nan,989.43,342.08,590.11,58.46,5,0.0
167238.984000,hsv,125,332.00,175.00,nan,983.36,342.33,584.03,51.55,5,0.0
167239.046000,hsv,126,332.00,171.00,nan,985.38,342.22,586.05,42.56,5,0.0
167239.093000,hsv,127,332.00,165.00,388.5,985.38,342.22,586.05,29.07,5,1.0
167239.140000,hsv,128,333.00,163.00,386.0,989.43,342.08,590.11,24.67,5,1.0
167239.187000,hsv,129,334.00,155.00,384.0,991.46,342.03,592.14,6.72,5,1.0
167239.234000,hsv,130,338.00,154.00,379.0,999.63,342.08,600.31,4.51,5,1.0
167239.281000,hsv,131,346.00,153.00,377.0,1018.15,343.42,618.88,0.90,5,1.0
167239.328000,hsv,132,344.00,156.00,377.0,1014.02,342.97,614.73,8.03,5,1.0
167239.390000,hsv,133,336.00,159.00,376.0,995.54,342.01,596.22,15.74,5,1.0
167239.437000,hsv,134,336.00,158.00,377.0,995.54,342.01,596.22,13.49,5,1.0
167239.484000,hsv,135,342.00,157.00,383.0,1009.90,342.61,610.59,10.65,5,1.0
167239.531000,hsv,136,342.00,159.00,384.0,1009.90,342.61,610.59,15.15,5,1.0
167239.578000,hsv,137,340.00,162.00,383.0,1005.78,342.33,606.47,22.18,5,1.0
167239.625000,hsv,138,338.00,165.00,nan,1001.68,342.14,602.36,29.13,5,0.0
167239.671000,hsv,139,340.00,165.00,nan,1005.78,342.33,606.47,28.93,5,0.0
167239.718000,hsv,140,342.00,166.00,nan,1011.96,342.78,612.66,30.82,5,0.0
167239.765000,hsv,141,340.00,167.00,nan,1007.84,342.46,608.53,33.41,5,0.0
167239.812000,hsv,142,338.00,167.00,nan,1001.68,342.14,602.36,33.63,5,0.0
167239.859000,hsv,143,340.00,165.00,nan,1005.78,342.33,606.47,28.93,5,0.0
167239.906000,hsv,144,342.00,163.00,383.0,1011.96,342.78,612.66,24.10,5,1.0
167239.968000,hsv,145,340.00,163.00,nan,1005.78,342.33,606.47,24.43,5,0.0
167240.015000,hsv,146,340.00,163.00,nan,1005.78,342.33,606.47,24.43,5,0.0
167240.062000,hsv,147,338.00,164.00,nan,1001.68,342.14,602.36,26.88,5,0.0
167240.109000,hsv,148,338.00,164.00,nan,1001.68,342.14,602.36,26.88,5,0.0
167240.156000,hsv,149,338.00,163.00,nan,1001.68,342.14,602.36,24.64,5,0.0
167240.203000,hsv,150,339.00,161.00,nan,1003.73,342.23,604.41,20.05,5,0.0
167240.250000,hsv,151,340.00,163.00,nan,1005.78,342.33,606.47,24.43,5,0.0
167240.296000,hsv,152,339.00,164.00,nan,1003.73,342.23,604.41,26.79,5,0.0
167240.343000,hsv,153,339.00,163.00,nan,1003.73,342.23,604.41,24.54,5,0.0
167240.390000,hsv,154,340.00,162.00,nan,1005.78,342.33,606.47,22.18,5,0.0
167240.437000,hsv,155,340.00,162.00,383.0,1005.78,342.33,606.47,22.18,5,1.0
167240.484000,hsv,156,338.00,159.00,nan,1001.68,342.14,602.36,15.65,5,0.0
167240.531000,hsv,157,338.00,156.00,380.0,1001.68,342.14,602.36,8.94,5,1.0
167240.578000,hsv,158,338.00,149.00,378.0,999.63,342.08,600.31,6.88,5,1.0
167240.640000,hsv,159,338.00,143.00,377.0,999.63,342.08,600.31,20.35,5,1.0
167240.671000,hsv,160,338.00,133.00,376.0,999.63,342.08,600.31,42.84,5,1.0
167240.734000,hsv,161,338.00,126.00,376.0,999.63,342.08,600.31,58.58,5,1.0
167240.781000,hsv,162,338.00,118.00,374.0,999.63,342.08,600.31,76.58,5,1.0
167240.828000,hsv,163,337.00,112.00,369.0,997.58,342.04,598.26,90.04,5,1.0
167240.890000,hsv,164,334.00,102.00,370.0,991.04,123.71,2520.41,105.80,5,1.0
167240.921000,hsv,165,334.00,97.00,370.0,991.04,123.71,2520.41,94.55,5,1.0
167240.968000,hsv,166,336.00,96.00,369.0,995.23,123.69,2524.60,92.32,5,1.0
167241.015000,hsv,167,338.00,88.00,368.0,1003.62,123.78,2532.99,74.29,5,1.0
167241.078000,hsv,168,339.00,82.00,362.0,1003.62,123.78,2532.99,60.73,5,1.0
167241.125000,hsv,169,341.00,70.00,362.0,1007.82,123.89,2537.19,33.62,5,1.0
167241.171000,hsv,170,342.00,64.00,362.0,1012.02,124.04,2541.40,20.12,5,1.0
167241.218000,hsv,171,338.00,52.00,361.0,999.43,123.71,2528.79,6.80,5,1.0
167241.265000,hsv,172,340.00,48.00,361.0,1003.62,123.78,2532.99,15.84,5,1.0
167241.328000,hsv,173,345.00,41.00,355.0,1016.23,124.23,2545.61,31.98,5,1.0
167241.375000,hsv,174,345.00,39.00,355.0,1016.23,124.23,2545.61,36.48,5,1.0
167241.421000,hsv,175,344.00,40.00,354.0,1012.02,124.04,2541.40,34.10,5,1.0
167241.468000,hsv,176,345.00,40.00,355.0,1016.23,124.23,2545.61,34.23,5,1.0
167241.515000,hsv,177,347.00,43.00,355.0,1020.43,124.47,2549.82,27.72,5,1.0
167241.562000,hsv,178,346.00,44.00,355.0,1016.23,124.23,2545.61,25.34,5,1.0
