t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
159975.921000,hsv,920,333.00,240.00,nan,994.55,544.17,6.18,6.10,5,0.0
159975.953000,hsv,921,334.00,240.00,nan,995.60,545.38,7.78,8.36,5,0.0
159975.984000,hsv,922,334.00,239.00,nan,994.55,544.17,6.18,9.83,5,0.0
159976.015000,hsv,923,332.00,238.00,nan,991.19,540.94,1.51,7.26,5,0.0
159976.062000,hsv,924,332.00,238.00,nan,991.19,540.94,1.51,7.26,5,0.0
159976.093000,hsv,925,332.00,238.00,nan,991.19,540.94,1.51,7.26,5,0.0
159976.125000,hsv,926,332.00,238.00,nan,991.19,540.94,1.51,7.26,5,0.0
159976.156000,hsv,927,331.00,238.00,nan,990.00,540.00,0.00,5.41,5,0.0
159976.187000,hsv,928,331.00,239.00,nan,990.79,540.62,1.00,3.62,5,0.0
159976.234000,hsv,929,331.00,239.00,nan,990.79,540.62,1.00,3.62,5,0.0
159976.265000,hsv,930,330.00,239.00,nan,990.00,540.00,0.00,2.25,5,0.0
159976.296000,hsv,931,332.00,239.00,nan,992.34,541.94,3.04,5.56,5,0.0
159976.328000,hsv,932,336.00,238.00,nan,995.60,545.38,7.78,15.86,5,0.0
159976.375000,hsv,933,338.00,238.00,nan,997.24,547.55,10.51,20.64,5,0.0
159976.406000,hsv,934,342.00,237.00,nan,998.76,549.90,13.30,31.93,5,0.0
159976.437000,hsv,935,349.00,237.00,nan,1000.87,554.00,17.92,50.58,5,0.0
159976.468000,hsv,936,355.00,235.00,nan,1001.33,555.09,19.10,68.90,5,0.0
159976.500000,hsv,937,363.00,232.00,nan,1001.55,555.64,19.70,93.69,5,0.0
159976.546000,hsv,938,372.00,233.00,nan,1226.62,482.28,959.94,118.32,5,0.0
159976.578000,hsv,939,381.00,232.00,nan,1230.30,492.72,971.00,92.08,5,0.0
159976.609000,hsv,940,390.00,231.00,nan,1232.78,500.67,979.34,65.61,5,0.0
159976.656000,hsv,941,399.00,230.00,nan,1235.03,508.74,987.71,39.03,5,0.0
159976.687000,hsv,942,407.00,229.00,446.0,1235.73,511.45,990.51,15.21,5,1.0
159976.734000,hsv,943,417.00,228.00,446.0,1237.04,516.90,996.12,14.50,5,1.0
159976.765000,hsv,944,431.00,227.00,nan,1238.24,522.40,1001.75,55.98,5,0.0
159976.796000,hsv,945,436.00,225.00,452.0,1238.24,522.40,1001.75,71.60,5,1.0
159976.843000,hsv,946,441.00,226.00,454.0,1238.81,525.16,1004.57,85.83,5,1.0
159976.875000,hsv,947,446.00,226.00,454.0,1239.34,527.93,1007.39,100.56,5,1.0
159976.906000,hsv,948,451.00,227.00,456.0,1239.85,530.71,1010.21,114.90,5,1.0
159976.937000,hsv,949,454.00,227.00,455.0,1239.85,530.71,1010.21,123.77,5,1.0
159976.968000,hsv,950,460.00,228.00,457.0,1487.23,494.35,3543.56,108.84,5,1.0
159977.015000,hsv,951,463.00,229.00,460.0,1488.06,499.59,3548.87,100.29,5,1.0
159977.046000,hsv,952,466.00,230.00,462.0,1488.83,504.85,3554.18,91.71,5,1.0
159977.078000,hsv,953,470.00,231.00,464.0,1489.56,510.12,3559.50,80.14,5,1.0
159977.109000,hsv,954,473.00,231.00,465.0,1489.56,510.12,3559.50,71.21,5,1.0
159977.156000,hsv,955,477.00,232.00,467.0,1490.23,515.40,3564.82,59.60,5,1.0
159977.187000,hsv,956,480.00,233.00,468.0,1490.85,520.68,3570.14,50.97,5,1.0
