t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
161690.437000,hsv,290,332.00,245.00,387.0,998.76,549.90,13.30,3.07,5,1.0
161690.484000,hsv,291,332.00,244.00,383.0,997.56,548.00,11.06,1.85,5,1.0
161690.515000,hsv,292,332.00,244.00,384.0,997.56,548.00,11.06,1.85,5,1.0
161690.546000,hsv,293,332.00,244.00,385.0,997.56,548.00,11.06,1.85,5,1.0
161690.578000,hsv,294,332.00,245.00,384.0,998.76,549.90,13.30,3.07,5,1.0
161690.625000,hsv,295,332.00,244.00,384.0,997.56,548.00,11.06,1.85,5,1.0
161690.656000,hsv,296,332.00,246.00,386.0,999.60,551.39,15.01,4.17,5,1.0
161690.687000,hsv,297,332.00,246.00,385.0,999.60,551.39,15.01,4.17,5,1.0
161690.718000,hsv,298,332.00,246.00,385.0,999.60,551.39,15.01,4.17,5,1.0
161690.765000,hsv,299,332.00,245.00,384.0,998.76,549.90,13.30,3.07,5,1.0
161690.796000,hsv,300,334.00,247.00,384.0,1001.55,555.64,19.70,0.46,5,1.0
161690.828000,hsv,301,334.00,247.00,385.0,1001.55,555.64,19.70,0.46,5,1.0
161690.859000,hsv,302,332.00,246.00,384.0,999.60,551.39,15.01,4.17,5,1.0
161690.890000,hsv,303,333.00,247.00,384.0,1001.33,555.09,19.10,2.42,5,1.0
161690.937000,hsv,304,334.00,247.00,384.0,1001.55,555.64,19.70,0.46,5,1.0
161690.968000,hsv,305,335.00,247.00,387.0,1001.98,556.77,20.90,3.19,5,1.0
161691.000000,hsv,306,336.00,247.00,389.0,1002.37,557.91,22.11,6.03,5,1.0
161691.031000,hsv,307,338.00,247.00,385.0,1002.73,559.08,23.33,11.75,5,1.0
161691.062000,hsv,308,338.00,248.00,384.0,1003.22,560.88,25.20,11.16,5,1.0
161691.109000,hsv,309,338.00,249.00,387.0,1003.64,562.72,27.08,10.65,5,1.0
161691.140000,hsv,310,336.00,250.00,386.0,1003.76,563.34,27.72,4.32,5,1.0
161691.171000,hsv,311,336.00,251.00,387.0,1004.09,565.24,29.65,3.95,5,1.0
161691.218000,hsv,312,335.00,252.00,391.0,1004.33,567.18,31.60,0.69,5,1.0
161691.234000,hsv,313,334.00,253.00,391.0,1004.50,569.15,33.58,2.50,5,1.0
161691.296000,hsv,314,334.00,256.00,391.0,1004.48,575.97,40.40,2.48,5,1.0
161691.328000,hsv,315,334.00,257.00,392.0,1004.21,578.77,43.22,2.27,5,1.0
161691.359000,hsv,316,334.00,259.00,391.0,1003.51,583.04,47.54,1.54,5,1.0
161691.390000,hsv,317,335.00,260.00,392.0,1003.20,584.48,49.01,1.88,5,1.0
161691.437000,hsv,318,335.00,261.00,393.0,1002.65,586.64,51.24,2.43,5,1.0
161691.468000,hsv,319,334.00,263.00,394.0,1001.03,591.70,56.56,0.98,5,1.0
161691.500000,hsv,320,333.00,265.00,391.0,999.23,596.03,61.25,0.32,5,1.0
161691.531000,hsv,321,332.00,266.00,393.0,997.44,599.62,65.26,1.82,5,1.0
161691.562000,hsv,322,332.00,266.00,391.0,997.44,599.62,65.26,1.82,5,1.0
161691.609000,hsv,323,329.00,269.00,394.0,991.57,608.69,76.08,5.72,5,1.0
161691.640000,hsv,324,327.00,270.00,391.0,987.68,613.35,82.15,8.88,5,1.0
161691.671000,hsv,325,326.00,271.00,394.0,984.59,616.55,86.60,9.47,5,1.0
161691.718000,hsv,326,324.00,271.00,392.0,980.55,620.21,92.05,13.51,5,1.0
161691.750000,hsv,327,323.00,271.00,391.0,978.40,621.96,94.83,15.41,5,1.0
161691.781000,hsv,328,317.00,274.00,391.0,958.20,633.58,118.20,18.54,5,1.0
161691.828000,hsv,329,314.00,273.00,nan,948.39,636.91,128.56,23.54,5,0.0
161691.859000,hsv,330,306.00,276.00,nan,916.55,640.18,160.72,19.24,5,0.0
161691.875000,hsv,331,303.00,275.00,nan,906.00,639.03,171.34,20.51,5,0.0
161691.921000,hsv,332,301.00,273.00,nan,897.70,637.37,179.81,23.72,5,0.0
161691.968000,hsv,333,297.00,273.00,nan,883.43,632.92,194.76,20.14,5,0.0
161692.000000,hsv,334,294.00,272.00,nan,874.03,628.80,205.03,18.60,5,0.0
161692.031000,hsv,335,293.00,269.00,385.0,867.09,625.11,212.89,23.16,5,1.0
161692.062000,hsv,336,292.00,266.00,386.0,861.41,621.63,219.55,27.35,5,1.0
161692.093000,hsv,337,291.00,263.00,388.0,854.76,616.99,227.67,31.15,5,1.0
161692.140000,hsv,338,289.00,263.00,386.0,849.37,612.73,234.53,27.41,5,1.0
161692.171000,hsv,339,287.00,261.00,383.0,842.11,606.19,244.31,26.75,5,1.0
161692.203000,hsv,340,285.00,259.00,386.0,836.19,600.05,252.84,25.55,5,1.0
161692.234000,hsv,341,284.00,258.00,384.0,833.35,596.80,257.15,24.77,5,1.0
161692.281000,hsv,342,283.00,254.00,384.0,826.20,587.57,268.83,27.89,5,1.0
161692.312000,hsv,343,283.00,251.00,383.0,822.08,581.40,276.26,31.65,5,1.0
161692.343000,hsv,344,282.00,250.00,383.0,819.74,577.55,280.76,30.27,5,1.0
161692.375000,hsv,345,282.00,247.00,383.0,816.08,570.91,288.34,33.54,5,1.0
161692.421000,hsv,346,283.00,244.00,381.0,813.39,565.41,294.47,39.21,5,1.0
161692.453000,hsv,347,283.00,241.00,382.0,810.31,558.29,302.22,41.88,5,1.0
161692.484000,hsv,348,282.00,240.00,382.0,808.64,553.90,306.92,39.87,5,1.0
161692.515000,hsv,349,280.00,236.00,384.0,804.40,540.25,321.22,36.78,5,1.0
161692.562000,hsv,350,279.00,233.00,384.0,802.27,530.78,330.93,35.34,5,1.0
161692.593000,hsv,351,279.00,229.00,384.0,800.52,519.41,342.43,36.71,5,1.0
161692.625000,hsv,352,279.00,225.00,383.0,799.61,507.75,354.13,37.42,5,1.0
161692.656000,hsv,353,279.00,222.00,382.0,799.48,499.29,362.60,37.52,5,1.0
161692.687000,hsv,354,281.00,218.00,383.0,800.06,487.28,374.62,43.06,5,1.0
161692.734000,hsv,355,283.00,214.00,383.0,801.84,473.43,388.59,47.85,5,1.0
161692.765000,hsv,356,284.00,211.00,383.0,803.96,463.00,399.23,49.45,5,1.0
161692.796000,hsv,357,285.00,207.00,381.0,807.31,450.86,411.82,49.96,5,1.0
161692.843000,hsv,358,285.00,205.00,381.0,809.04,445.69,417.28,48.52,5,1.0
161692.875000,hsv,359,285.00,201.00,378.0,813.74,433.72,430.15,45.23,5,1.0
161692.906000,hsv,360,287.00,198.00,376.0,818.52,423.61,441.33,47.79,5,1.0
161692.953000,hsv,361,289.00,197.00,378.0,821.17,418.63,446.97,52.02,5,1.0
161692.968000,hsv,362,291.00,194.00,378.0,828.03,407.23,460.27,53.66,5,1.0
161693.015000,hsv,363,294.00,193.00,381.0,833.49,399.31,469.89,59.78,5,1.0
161693.046000,hsv,364,297.00,190.00,379.0,844.49,385.63,487.46,62.58,5,1.0
161693.078000,hsv,365,301.00,188.00,376.0,855.49,374.19,503.34,68.12,5,1.0
161693.125000,hsv,366,308.00,185.00,380.0,880.74,353.77,535.84,76.00,5,1.0
161693.156000,hsv,367,312.00,184.00,380.0,896.69,343.97,554.57,80.31,5,1.0
161693.203000,hsv,368,316.00,183.00,382.0,915.73,334.72,575.75,83.52,5,1.0
161693.234000,hsv,369,320.00,182.00,383.0,933.92,328.00,595.15,85.57,5,1.0
161693.250000,hsv,370,325.00,181.00,383.0,959.48,321.60,621.51,87.04,5,1.0
161693.296000,hsv,371,328.00,180.00,383.0,974.94,319.31,637.15,86.17,5,1.0
161693.328000,hsv,372,332.00,180.00,383.0,993.00,318.04,655.26,87.01,5,1.0
161693.359000,hsv,373,336.00,179.00,384.0,1013.67,318.41,675.93,84.53,5,1.0
161693.406000,hsv,374,341.00,178.00,386.0,1036.85,321.10,699.28,80.60,5,1.0
161693.437000,hsv,375,346.00,179.00,385.0,1057.70,325.61,720.63,79.61,5,1.0
161693.484000,hsv,376,350.00,179.00,386.0,1076.08,331.31,739.87,76.05,5,1.0
161693.515000,hsv,377,352.00,181.00,384.0,1085.16,334.75,749.59,78.14,5,1.0
161693.546000,hsv,378,354.00,182.00,390.0,1094.16,338.59,759.37,77.86,5,1.0
161693.578000,hsv,379,359.00,184.00,391.0,1113.97,348.66,781.60,75.08,5,1.0
161693.625000,hsv,380,364.00,185.00,390.0,1130.97,359.25,801.63,69.05,5,1.0
161693.656000,hsv,381,368.00,187.00,392.0,1145.26,369.76,819.37,65.59,5,1.0
161693.687000,hsv,382,371.00,190.00,395.0,1156.99,379.66,834.73,64.99,5,1.0
161693.718000,hsv,383,373.00,192.00,396.0,1162.67,384.91,842.46,64.22,5,1.0
161693.750000,hsv,384,380.00,197.00,401.0,1183.91,407.85,873.74,56.40,5,1.0
161693.796000,hsv,385,383.00,200.00,402.0,1192.01,418.27,886.94,53.44,5,1.0
