t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
172620.703000,hsv,52,331.00,239.00,nan,990.00,540.00,0.00,5.30,5,0.0
172620.750000,hsv,53,332.00,237.00,nan,990.00,540.00,0.00,7.20,5,0.0
172620.796000,hsv,54,332.00,237.00,nan,990.00,540.00,0.00,7.20,5,0.0
172620.859000,hsv,55,332.00,238.00,nan,990.00,540.00,0.00,5.15,5,0.0
172620.906000,hsv,56,333.00,237.00,nan,990.00,540.00,0.00,6.76,5,0.0
172620.953000,hsv,57,333.00,237.00,nan,990.00,540.00,0.00,6.76,5,0.0
172621.000000,hsv,58,332.00,237.00,nan,990.00,540.00,0.00,7.20,5,0.0
172621.046000,hsv,59,332.00,237.00,nan,990.00,540.00,0.00,7.20,5,0.0
172621.093000,hsv,60,334.00,238.00,nan,990.00,540.00,0.00,4.96,5,0.0
172621.140000,hsv,61,339.00,239.00,nan,994.56,544.87,6.68,11.46,5,0.0
172621.203000,hsv,62,353.00,242.00,nan,1000.04,555.53,18.73,37.25,5,0.0
172621.234000,hsv,63,369.00,246.00,nan,1001.69,562.77,26.16,71.20,5,0.0
172621.281000,hsv,64,409.00,251.00,798.5,1212.00,561.93,936.23,48.14,5,1.0
172621.328000,hsv,65,423.00,247.00,772.0,1211.49,554.30,928.59,15.54,5,1.0
172621.375000,hsv,66,446.00,254.00,698.0,1212.31,572.17,946.48,36.43,5,1.0
172621.421000,hsv,67,456.00,256.00,712.0,1212.32,574.74,949.05,59.34,5,1.0
172621.484000,hsv,68,482.00,252.00,768.0,1429.95,541.71,3188.03,101.92,5,1.0
172621.531000,hsv,69,494.00,251.00,780.0,1429.95,541.71,3188.03,74.86,5,1.0
172621.593000,hsv,70,508.00,248.00,768.0,1429.95,541.71,3188.03,42.40,5,1.0
172621.640000,hsv,71,514.00,248.00,nan,1429.95,541.71,3188.03,30.18,5,0.0
172621.687000,hsv,72,520.00,245.00,nan,1429.95,541.71,3188.03,15.06,5,0.0
172621.734000,hsv,73,526.00,239.00,nan,1429.59,537.01,3183.31,2.57,5,0.0
172621.781000,hsv,74,526.00,240.00,nan,1429.95,541.71,3188.03,2.71,5,0.0
172621.828000,hsv,75,530.00,238.00,nan,1429.59,537.01,3183.31,11.73,5,0.0
172621.875000,hsv,76,534.00,238.00,nan,1429.59,537.01,3183.31,20.85,5,0.0
172621.921000,hsv,77,536.00,237.00,nan,1429.59,537.01,3183.31,25.65,5,0.0
172621.968000,hsv,78,536.00,237.00,nan,1429.59,537.01,3183.31,25.65,5,0.0
172622.015000,hsv,79,536.00,239.00,nan,1429.95,541.71,3188.03,25.33,5,0.0
172622.062000,hsv,80,537.00,240.00,nan,1429.95,541.71,3188.03,27.36,5,0.0
172622.125000,hsv,81,536.00,239.00,nan,1429.95,541.71,3188.03,25.33,5,0.0
172622.156000,hsv,82,535.00,240.00,nan,1429.95,541.71,3188.03,22.79,5,0.0
172622.218000,hsv,83,535.00,240.00,nan,1429.95,541.71,3188.03,22.79,5,0.0
172622.265000,hsv,84,534.00,241.00,nan,1429.95,541.71,3188.03,20.44,5,0.0
172622.312000,hsv,85,533.00,241.00,nan,1429.95,541.71,3188.03,18.15,5,0.0
172622.375000,hsv,86,530.00,242.00,nan,1429.95,541.71,3188.03,11.61,5,0.0
172622.421000,hsv,87,530.00,241.00,nan,1429.95,541.71,3188.03,11.28,5,0.0
172622.468000,hsv,88,531.00,239.00,nan,1429.59,537.01,3183.31,13.94,5,0.0
172622.515000,hsv,89,530.00,240.00,nan,1429.95,541.71,3188.03,11.40,5,0.0
172622.562000,hsv,90,527.00,238.00,nan,1429.59,537.01,3183.31,4.99,5,0.0
172622.609000,hsv,91,527.00,239.00,nan,1429.59,537.01,3183.31,4.81,5,0.0
