t_sec,method,frame_idx,x_px,y_px,z_mm,x_spiral_px,y_spiral_px,s_spiral_px,err_px,depth_window,valid_depth_fraction
84917.718000,mp,118,307.27,244.70,363.0,989.77,553.29,16.80,8.86,5,1.0
84917.750000,mp,119,307.77,244.10,364.0,989.32,552.05,15.48,7.91,5,1.0
84917.796000,mp,120,307.87,244.55,365.0,989.62,552.88,16.35,7.26,5,1.0
84917.843000,mp,121,309.22,244.55,363.0,989.16,551.65,15.04,3.49,5,1.0
84917.890000,mp,122,313.60,252.16,nan,991.10,568.97,32.67,12.01,5,0.0
84917.921000,mp,123,329.25,279.50,nan,931.78,612.93,113.06,15.96,5,0.0
84921.828000,mp,215,464.70,275.60,346.0,665.46,585.96,1512.02,143.69,5,1.0
84921.875000,mp,216,464.75,270.30,350.0,663.32,577.21,1521.02,141.03,5,1.0
84921.921000,mp,217,464.70,265.00,354.0,661.45,568.38,1530.05,138.39,5,1.0
84921.953000,mp,218,464.58,256.69,364.0,659.35,556.49,1542.13,134.75,5,1.0
84922.000000,mp,219,456.81,238.93,368.0,656.39,529.30,1569.48,107.13,5,1.0
84922.046000,mp,220,451.98,228.94,375.0,655.81,514.01,1584.78,91.76,5,1.0
84922.078000,mp,221,444.46,228.04,378.0,655.81,514.01,1584.78,69.20,5,1.0
84922.125000,mp,222,441.33,228.04,384.0,655.81,514.01,1584.78,59.82,5,1.0
84922.156000,mp,223,441.33,231.00,698.0,655.86,517.08,1581.72,59.93,5,1.0
84922.203000,mp,224,450.31,238.06,391.0,656.39,529.30,1569.48,87.54,5,1.0
84922.250000,mp,225,455.89,238.59,390.0,656.39,529.30,1569.48,104.34,5,1.0
84922.281000,mp,226,464.04,239.77,387.0,656.39,529.30,1569.48,128.91,5,1.0
84922.312000,mp,227,467.62,239.77,384.0,656.39,529.30,1569.48,139.62,5,1.0
84922.375000,mp,228,467.73,235.82,379.0,656.06,523.20,1575.59,139.45,5,1.0
84922.406000,mp,229,468.85,233.95,379.0,655.95,520.14,1578.65,142.63,5,1.0
84922.437000,mp,230,469.94,233.95,378.0,655.95,520.14,1578.65,145.89,5,1.0
84922.484000,mp,231,469.94,233.95,380.0,655.95,520.14,1578.65,145.89,5,1.0
84922.546000,mp,232,469.18,233.35,382.0,655.95,520.14,1578.65,143.56,5,1.0
84922.578000,mp,233,461.62,227.23,387.0,655.78,510.94,1587.85,120.64,5,1.0
84922.625000,mp,234,456.41,225.88,391.0,655.79,507.87,1590.92,105.01,5,1.0
84922.671000,mp,235,449.89,225.53,675.0,655.79,507.87,1590.92,85.45,5,1.0
84922.718000,mp,236,432.81,223.17,685.0,655.90,501.72,1597.08,34.33,5,1.0
84922.750000,mp,237,420.76,222.24,396.0,656.00,498.64,1600.16,2.21,5,1.0
84922.796000,mp,238,412.04,222.24,699.0,656.00,498.64,1600.16,27.92,5,1.0
84922.843000,mp,239,400.75,222.98,394.0,656.00,498.64,1600.16,61.82,5,1.0
84922.890000,mp,240,396.09,222.98,394.0,656.00,498.64,1600.16,75.80,5,1.0
84922.921000,mp,241,391.97,222.98,396.0,656.00,498.64,1600.16,88.13,5,1.0
84922.968000,mp,242,390.21,224.17,712.0,842.08,507.57,266.98,92.75,5,1.0
84923.015000,mp,243,384.45,229.82,400.0,842.11,515.07,259.48,75.49,5,1.0
84923.062000,mp,244,382.41,233.81,402.0,842.39,520.00,254.53,69.89,5,1.0
84923.109000,mp,245,377.05,236.02,717.0,842.87,524.88,249.63,54.36,5,1.0
84923.140000,mp,246,367.55,238.10,403.0,843.76,530.87,243.58,26.86,5,1.0
84923.187000,mp,247,363.98,238.10,406.0,844.20,533.23,241.18,16.33,5,1.0
84923.218000,mp,248,360.28,238.33,403.0,844.69,535.57,238.79,5.56,5,1.0
84923.265000,mp,249,354.59,237.91,736.0,845.22,537.89,236.41,11.30,5,1.0
84923.296000,mp,250,345.90,236.39,742.0,846.43,542.45,231.68,37.39,5,1.0
84923.343000,mp,251,337.56,236.39,402.0,851.56,556.57,216.65,60.98,5,1.0
84923.390000,mp,252,327.35,237.61,399.0,980.00,540.00,0.00,42.39,5,1.0
84923.421000,mp,253,317.13,237.61,nan,980.00,540.00,0.00,12.60,5,0.0
84923.468000,mp,254,302.36,235.28,393.0,986.65,546.80,9.58,31.53,5,1.0
84923.515000,mp,255,293.95,235.28,397.0,988.83,550.85,14.18,53.80,5,1.0
84923.546000,mp,256,283.28,238.26,389.0,990.51,555.89,19.49,82.08,5,1.0
84923.593000,mp,257,276.71,240.72,396.0,1165.75,524.92,734.79,77.70,5,1.0
84923.640000,mp,258,269.10,243.51,395.0,1168.40,539.34,749.45,56.35,5,1.0
84923.671000,mp,259,264.15,243.97,399.0,1168.97,543.51,753.67,41.77,5,1.0
84923.703000,mp,260,260.35,245.43,394.0,1169.67,549.82,760.02,30.82,5,1.0
84923.750000,mp,261,260.35,246.67,395.0,1169.86,551.94,762.14,31.07,5,1.0
84923.796000,mp,262,262.22,247.87,396.0,1170.18,556.18,766.39,36.86,5,1.0
84923.843000,mp,263,264.90,250.06,397.0,1170.41,560.43,770.66,45.15,5,1.0
84923.875000,mp,264,266.89,250.06,391.5,1170.41,560.43,770.66,51.11,5,1.0
84923.906000,mp,265,269.27,250.06,400.0,1170.41,560.43,770.66,58.26,5,1.0
84923.953000,mp,266,270.08,251.27,nan,1170.49,562.57,772.79,60.80,5,0.0
84924.875000,mp,288,358.05,177.25,361.0,875.83,425.14,357.91,39.89,5,1.0
84924.937000,mp,289,346.69,166.64,343.0,900.28,403.49,390.63,35.06,5,1.0
84924.984000,mp,290,335.32,156.02,679.0,928.78,387.87,423.20,39.67,5,1.0
84925.015000,mp,291,326.02,145.56,676.0,953.22,380.04,448.88,53.74,5,1.0
84925.046000,mp,292,309.24,137.83,669.0,991.15,375.93,487.13,65.82,5,1.0
84925.093000,mp,293,295.83,137.47,654.0,1020.24,378.79,516.40,70.56,5,1.0
84925.140000,mp,294,266.01,129.23,653.0,1152.95,228.40,2272.75,69.65,5,1.0
84925.171000,mp,295,253.84,123.59,316.0,1178.65,242.88,2302.27,40.57,5,1.0
84925.218000,mp,296,242.69,116.61,319.0,1197.23,255.15,2324.53,8.96,5,1.0
84925.265000,mp,297,242.69,116.61,325.0,1197.23,255.15,2324.53,8.96,5,1.0
84925.296000,mp,298,244.83,123.70,326.0,1200.26,257.30,2328.25,25.67,5,1.0
84925.343000,mp,299,251.03,128.34,326.0,1191.11,250.93,2317.09,44.91,5,1.0
84925.390000,mp,300,251.89,130.08,327.0,1191.11,250.93,2317.09,49.61,5,1.0
84925.437000,mp,301,253.40,131.26,329.0,1191.11,250.93,2317.09,54.34,5,1.0
84925.484000,mp,302,255.70,136.47,331.0,1191.11,250.93,2317.09,67.91,5,1.0
84925.515000,mp,303,255.71,138.67,334.0,1194.18,253.02,2320.81,72.00,5,1.0
84925.578000,mp,304,255.71,141.82,663.0,1197.23,255.15,2324.53,77.82,5,1.0
84925.625000,mp,305,256.82,156.30,665.0,1098.58,415.19,603.66,81.43,5,1.0
84925.671000,mp,306,260.52,165.17,349.0,1100.04,416.38,605.55,58.95,5,1.0
84925.703000,mp,307,261.67,170.97,350.0,1104.38,420.06,611.24,46.77,5,1.0
84925.750000,mp,308,265.08,173.97,352.0,1101.50,417.59,607.44,35.00,5,1.0
84925.796000,mp,309,267.71,176.23,354.0,1100.04,416.38,605.55,26.04,5,1.0
84925.828000,mp,310,270.67,178.90,356.0,1098.58,415.19,603.66,15.78,5,1.0
84925.875000,mp,311,272.93,182.80,661.0,1098.58,415.19,603.66,4.69,5,1.0
84925.906000,mp,312,276.07,191.62,365.0,1102.95,418.82,609.34,16.62,5,1.0
84925.953000,mp,313,278.88,197.62,367.0,1104.38,420.06,611.24,32.35,5,1.0
84925.984000,mp,314,279.79,200.94,368.0,1107.22,422.60,615.05,39.72,5,1.0
84926.031000,mp,315,282.10,203.50,372.0,1105.81,421.32,613.14,48.65,5,1.0
84926.062000,mp,316,283.97,205.39,375.0,1104.38,420.06,611.24,55.56,5,1.0
84926.109000,mp,317,287.21,208.05,378.0,1101.50,417.59,607.44,66.43,5,1.0
84926.156000,mp,318,289.55,210.34,382.0,1098.58,415.19,603.66,74.85,5,1.0
84926.187000,mp,319,291.68,211.79,382.0,1094.12,411.71,598.01,81.35,5,1.0
84926.234000,mp,320,293.34,212.79,657.0,982.61,542.04,3.31,85.40,5,1.0
84926.265000,mp,321,295.63,218.30,387.0,983.16,542.56,4.07,71.66,5,1.0
84926.312000,mp,322,297.33,220.41,392.0,983.16,542.56,4.07,64.70,5,1.0
84926.359000,mp,323,298.82,222.87,395.0,983.16,542.56,4.07,57.61,5,1.0
84926.390000,mp,324,301.87,225.09,397.0,982.61,542.04,3.31,47.70,5,1.0
84926.437000,mp,325,308.28,226.05,400.0,980.00,540.00,0.00,34.85,5,1.0
84926.484000,mp,326,319.37,226.31,400.0,980.00,540.00,0.00,35.73,5,1.0
84926.515000,mp,327,325.97,226.05,398.0,980.00,540.00,0.00,49.22,5,1.0
84926.562000,mp,328,330.47,224.54,393.0,980.00,540.00,0.00,62.08,5,1.0
84926.609000,mp,329,333.87,219.92,387.0,848.90,470.59,304.72,73.59,5,1.0
84926.656000,mp,330,343.19,209.09,388.0,856.45,453.07,323.82,38.17,5,1.0
84926.703000,mp,331,343.54,205.69,382.0,860.55,445.78,332.19,33.49,5,1.0
84926.750000,mp,332,352.82,195.15,378.0,863.56,441.01,337.82,2.79,5,1.0
84926.796000,mp,333,353.98,189.25,377.0,868.49,434.05,346.36,13.29,5,1.0
84926.843000,mp,334,358.20,180.98,364.0,872.05,429.53,352.11,34.77,5,1.0
84926.875000,mp,335,364.67,162.94,366.0,880.85,419.82,365.22,76.42,5,1.0
84926.921000,mp,336,365.01,155.07,362.0,885.10,415.73,371.12,89.90,5,1.0
84926.953000,mp,337,366.80,145.97,349.0,768.64,269.43,1862.97,77.95,5,1.0
84927.000000,mp,338,371.45,129.37,349.0,781.60,258.94,1879.65,40.15,5,1.0
84927.046000,mp,339,371.45,122.93,342.0,789.65,252.94,1889.69,28.57,5,1.0
84927.078000,mp,340,371.29,114.12,341.0,797.90,247.17,1899.76,12.64,5,1.0
84927.125000,mp,341,370.07,106.23,338.0,809.20,239.85,1913.22,1.03,5,1.0
84927.156000,mp,342,369.59,98.49,334.0,817.89,234.65,1923.35,14.65,5,1.0
84927.203000,mp,343,360.19,86.29,337.0,851.22,217.77,1960.73,26.38,5,1.0
84927.250000,mp,344,358.16,82.80,337.0,857.50,215.08,1967.56,31.19,5,1.0
84927.296000,mp,345,354.23,81.46,337.0,867.05,211.29,1977.84,29.66,5,1.0
84927.328000,mp,346,347.76,81.22,nan,883.26,205.59,1995.02,23.77,5,0.0
84927.375000,mp,347,342.24,81.46,nan,899.81,200.70,2012.28,18.61,5,0.0
84927.406000,mp,348,331.09,88.01,nan,926.89,194.58,2040.05,3.43,5,0.0
84927.453000,mp,349,323.37,88.12,342.0,947.59,191.42,2061.00,7.23,5,1.0
84927.500000,mp,350,316.94,94.29,342.0,968.56,189.50,2082.06,22.65,5,1.0
84927.531000,mp,351,313.49,98.51,nan,979.12,189.02,2092.63,32.63,5,0.0
84927.578000,mp,352,301.88,103.66,347.0,1018.08,189.99,2131.61,43.40,5,1.0
84927.625000,mp,353,296.22,108.74,349.0,1039.36,192.34,2153.03,52.93,5,1.0
84927.671000,mp,354,290.02,111.17,350.0,1060.57,196.00,2174.56,55.16,5,1.0
84927.703000,mp,355,285.91,115.18,nan,1078.13,200.04,2192.58,61.21,5,0.0
84927.750000,mp,356,276.06,126.40,672.0,1119.56,213.39,2236.13,76.23,5,1.0
84927.796000,mp,357,271.73,130.31,667.0,1136.41,220.46,2254.40,79.31,5,1.0
84927.828000,mp,358,266.67,135.55,681.0,1159.46,231.82,2280.11,83.14,5,1.0
84927.875000,mp,359,262.02,144.93,681.0,1083.41,404.20,584.92,93.03,5,1.0
84927.921000,mp,360,258.01,149.62,366.0,1092.62,410.58,596.13,91.18,5,1.0
84927.968000,mp,361,255.57,155.19,681.0,1098.58,415.19,603.66,85.74,5,1.0
84928.000000,mp,362,250.74,158.72,684.0,1107.22,422.60,615.05,89.20,5,1.0
84928.046000,mp,363,246.32,168.60,688.0,1119.43,434.82,632.33,82.91,5,1.0
84928.093000,mp,364,244.88,174.42,689.0,1125.78,442.16,642.03,77.59,5,1.0
84928.125000,mp,365,241.20,180.05,700.0,1132.95,451.45,653.77,78.56,5,1.0
84928.171000,mp,366,238.43,191.99,382.0,1143.72,468.07,673.58,70.88,5,1.0
84928.218000,mp,367,235.31,198.09,385.0,1149.42,478.66,685.61,72.58,5,1.0
84928.265000,mp,368,233.83,203.54,696.0,1152.87,485.96,693.69,71.35,5,1.0
84928.312000,mp,369,226.73,209.60,693.0,1158.93,501.08,709.99,86.10,5,1.0
84928.343000,mp,370,222.55,210.25,695.0,1337.84,444.98,2564.76,89.98,5,1.0
84928.390000,mp,371,221.32,215.72,701.0,1342.51,459.92,2580.42,90.12,5,1.0
84928.421000,mp,372,218.58,221.00,nan,1347.51,478.91,2600.05,85.24,5,0.0
84928.468000,mp,373,216.35,232.91,396.0,1353.55,509.89,2631.62,83.81,5,1.0
84928.515000,mp,374,214.38,235.88,395.0,1355.17,521.66,2643.51,78.85,5,1.0
84928.546000,mp,375,213.64,239.39,395.0,1356.06,529.55,2651.45,77.51,5,1.0
84928.593000,mp,376,212.98,239.39,396.0,1356.06,529.55,2651.45,75.54,5,1.0
84928.640000,mp,377,211.73,237.28,392.0,1355.64,525.60,2647.48,71.31,5,1.0
84928.671000,mp,378,209.82,237.28,391.0,1355.64,525.60,2647.48,65.61,5,1.0
84928.703000,mp,379,208.22,237.28,392.0,1355.64,525.60,2647.48,60.86,5,1.0
84928.750000,mp,380,206.11,237.97,392.0,1356.06,529.55,2651.45,54.72,5,1.0
84928.796000,mp,381,204.65,236.93,392.0,1356.06,529.55,2651.45,50.15,5,1.0
84928.843000,mp,382,200.16,237.97,388.0,1356.45,533.51,2655.43,36.98,5,1.0
84928.890000,mp,383,195.23,237.47,389.5,1356.45,533.51,2655.43,22.15,5,1.0
84928.906000,mp,384,192.19,238.28,390.0,1356.45,533.51,2655.43,13.27,5,1.0
84928.953000,mp,385,192.05,237.47,388.0,1356.45,533.51,2655.43,12.61,5,1.0
84929.015000,mp,386,191.11,235.55,386.0,1356.06,529.55,2651.45,9.41,5,1.0
84929.046000,mp,387,188.53,231.21,387.0,1355.17,521.66,2643.51,1.64,5,1.0
84929.093000,mp,388,188.24,230.90,386.0,1354.67,517.73,2639.55,1.90,5,1.0
84929.125000,mp,389,186.25,230.90,386.0,1355.17,521.66,2643.51,6.43,5,1.0
84929.171000,mp,390,185.68,232.83,387.0,1355.64,525.60,2647.48,7.54,5,1.0
